CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
355,DE.CM-1,AU-12 (1)
356,DE.CM-1,AU-12 (2)
357,DE.CM-1,AU-12 (3)
358,DE.CM-1,AU-12a
359,DE.CM-1,AU-12b
360,DE.CM-1,AU-12c
362,DE.CM-1,CA-7 (1)
363,DE.CM-1,CA-7 (3)
364,DE.CM-1,CA-7a
365,DE.CM-1,CA-7b
366,DE.CM-1,CA-7c
367,DE.CM-1,CA-7d
368,DE.CM-1,CA-7e
369,DE.CM-1,CA-7f
370,DE.CM-1,CA-7g
372,DE.CM-1,CM-3 (1)
373,DE.CM-1,CM-3 (1)(a)
374,DE.CM-1,CM-3 (1)(b)
375,DE.CM-1,CM-3 (1)(c)
376,DE.CM-1,CM-3 (1)(d)
377,DE.CM-1,CM-3 (1)(e)
378,DE.CM-1,CM-3 (1)(f)
379,DE.CM-1,CM-3 (2)
380,DE.CM-1,CM-3 (3)
381,DE.CM-1,CM-3 (4)
382,DE.CM-1,CM-3 (5)
383,DE.CM-1,CM-3 (6)
384,DE.CM-1,CM-3a
385,DE.CM-1,CM-3b
386,DE.CM-1,CM-3c
387,DE.CM-1,CM-3d
388,DE.CM-1,CM-3e
389,DE.CM-1,CM-3f
390,DE.CM-1,CM-3g
391,DE.CM-1,SC-5
392,DE.CM-1,SC-5 (1)
393,DE.CM-1,SC-5 (2)
394,DE.CM-1,SC-5 (3)(a)
395,DE.CM-1,SC-5 (3)(b)
397,DE.CM-1,SC-7 (10)
398,DE.CM-1,SC-7 (11)
399,DE.CM-1,SC-7 (12)
400,DE.CM-1,SC-7 (13)
401,DE.CM-1,SC-7 (14)
402,DE.CM-1,SC-7 (15)
403,DE.CM-1,SC-7 (16)
404,DE.CM-1,SC-7 (17)
405,DE.CM-1,SC-7 (18)
406,DE.CM-1,SC-7 (19)
407,DE.CM-1,SC-7 (20)
408,DE.CM-1,SC-7 (21)
409,DE.CM-1,SC-7 (22)
410,DE.CM-1,SC-7 (23)
411,DE.CM-1,SC-7 (3)
412,DE.CM-1,SC-7 (4)(a)
413,DE.CM-1,SC-7 (4)(b)
414,DE.CM-1,SC-7 (4)(c)
415,DE.CM-1,SC-7 (4)(d)
416,DE.CM-1,SC-7 (4)(e)
417,DE.CM-1,SC-7 (5)
418,DE.CM-1,SC-7 (7)
419,DE.CM-1,SC-7 (8)
420,DE.CM-1,SC-7 (9)(a)
421,DE.CM-1,SC-7 (9)(b)
422,DE.CM-1,SC-7a
423,DE.CM-1,SC-7b
424,DE.CM-1,SC-7c
426,DE.CM-1,SI-4 (1)
427,DE.CM-1,SI-4 (10)
428,DE.CM-1,SI-4 (11)
429,DE.CM-1,SI-4 (12)
430,DE.CM-1,SI-4 (13)(a)
431,DE.CM-1,SI-4 (13)(b)
432,DE.CM-1,SI-4 (13)(c)
433,DE.CM-1,SI-4 (14)
434,DE.CM-1,SI-4 (15)
435,DE.CM-1,SI-4 (16)
436,DE.CM-1,SI-4 (17)
437,DE.CM-1,SI-4 (18)
438,DE.CM-1,SI-4 (19)
439,DE.CM-1,SI-4 (2)
440,DE.CM-1,SI-4 (20)
441,DE.CM-1,SI-4 (21)
442,DE.CM-1,SI-4 (22)
443,DE.CM-1,SI-4 (23)
444,DE.CM-1,SI-4 (24)
445,DE.CM-1,SI-4 (3)
446,DE.CM-1,SI-4 (4)
447,DE.CM-1,SI-4 (5)
448,DE.CM-1,SI-4 (7)
449,DE.CM-1,SI-4 (9)
450,DE.CM-1,SI-4a.1
451,DE.CM-1,SI-4a.2
452,DE.CM-1,SI-4b
453,DE.CM-1,SI-4c.1
454,DE.CM-1,SI-4c.2
455,DE.CM-1,SI-4d
456,DE.CM-1,SI-4e
457,DE.CM-1,SI-4f
458,DE.CM-1,SI-4g
460,DE.CM-2,CA-7 (1)
461,DE.CM-2,CA-7 (3)
462,DE.CM-2,CA-7a
463,DE.CM-2,CA-7b
464,DE.CM-2,CA-7c
465,DE.CM-2,CA-7d
466,DE.CM-2,CA-7e
467,DE.CM-2,CA-7f
468,DE.CM-2,CA-7g
470,DE.CM-2,PE-20a
471,DE.CM-2,PE-20b
473,DE.CM-2,PE-3 (1)
474,DE.CM-2,PE-3 (2)
475,DE.CM-2,PE-3 (3)
476,DE.CM-2,PE-3 (4)
477,DE.CM-2,PE-3 (5)
478,DE.CM-2,PE-3 (6)
479,DE.CM-2,PE-3a.1
480,DE.CM-2,PE-3a.2
481,DE.CM-2,PE-3b
482,DE.CM-2,PE-3c
483,DE.CM-2,PE-3d
484,DE.CM-2,PE-3e
485,DE.CM-2,PE-3f
486,DE.CM-2,PE-3g
488,DE.CM-2,PE-6 (1)
489,DE.CM-2,PE-6 (2)
490,DE.CM-2,PE-6 (3)
491,DE.CM-2,PE-6 (4)
492,DE.CM-2,PE-6a
493,DE.CM-2,PE-6b
494,DE.CM-2,PE-6c
496,DE.CM-3,AC-2 (1)
497,DE.CM-3,AC-2 (10)
498,DE.CM-3,AC-2 (11)
499,DE.CM-3,AC-2 (12)(a)
500,DE.CM-3,AC-2 (12)(b)
501,DE.CM-3,AC-2 (13)
502,DE.CM-3,AC-2 (2)
503,DE.CM-3,AC-2 (3)
504,DE.CM-3,AC-2 (4)
505,DE.CM-3,AC-2 (5)
506,DE.CM-3,AC-2 (6)
507,DE.CM-3,AC-2 (7)(a)
508,DE.CM-3,AC-2 (7)(b)
509,DE.CM-3,AC-2 (7)(c)
510,DE.CM-3,AC-2 (8)
511,DE.CM-3,AC-2 (9)
512,DE.CM-3,AC-2a.
513,DE.CM-3,AC-2b.
514,DE.CM-3,AC-2c.
515,DE.CM-3,AC-2d.
516,DE.CM-3,AC-2e.
517,DE.CM-3,AC-2f.
518,DE.CM-3,AC-2g.
519,DE.CM-3,AC-2h.1.
520,DE.CM-3,AC-2h.2.
521,DE.CM-3,AC-2h.3.
522,DE.CM-3,AC-2i.1.
523,DE.CM-3,AC-2i.2.
524,DE.CM-3,AC-2i.3.
525,DE.CM-3,AC-2j.
526,DE.CM-3,AC-2k.
528,DE.CM-3,AU-12 (1)
529,DE.CM-3,AU-12 (2)
